iter	RMSE
0	0.1737192954
1	0.1717592155
2	0.1703000379
3	0.1690732151
4	0.1682057818
5	0.1674278038
6	0.1667440948
7	0.166143686
8	0.1656674602
9	0.1652070358
10	0.1648707988
11	0.1645136674
12	0.1642120354
13	0.1639243328
14	0.1636631273
15	0.163389684
16	0.1631051575
17	0.162884644
18	0.162659324
19	0.1624209046
20	0.1621985066
21	0.1619056584
22	0.1617077723
23	0.1615432025
24	0.1613891797
25	0.1613029454
26	0.1611498432
27	0.1610206758
28	0.1608618092
29	0.1607409944
30	0.1605836085
31	0.1604303708
32	0.1602918945
33	0.1601324111
34	0.1600025065
35	0.1598992934
36	0.1598385083
37	0.1596823728
38	0.1595604566
39	0.1594122617
40	0.1592946847
41	0.1591768649
42	0.1590731098
43	0.1589534818
44	0.1588038451
45	0.1586339624
46	0.1585356391
47	0.1583870066
48	0.158296975
49	0.1582100589
50	0.1581043911
51	0.1579221526
52	0.1578180694
53	0.157700973
54	0.1575680143
55	0.1574563124
56	0.1573093398
57	0.1571601608
58	0.1570482687
59	0.1568717201
60	0.1567284041
61	0.1565587845
62	0.1564520178
63	0.1563526268
64	0.1562097107
65	0.1560935097
66	0.1559597744
67	0.1558556436
68	0.1557521976
69	0.15556286
70	0.1554294133
71	0.1553366719
72	0.1552359994
73	0.1551021241
74	0.1549811623
75	0.1548935317
76	0.1547715757
77	0.1546934633
78	0.15454832
79	0.1544454899
80	0.1542920719
81	0.1541954079
82	0.1540905794
83	0.1539863262
84	0.1538375455
85	0.1537309177
86	0.1536502675
87	0.1535689603
88	0.1534559736
89	0.1533607862
90	0.1532852846
91	0.153136086
92	0.153048353
93	0.1529555646
94	0.1528772904
95	0.1527628433
96	0.1526796479
97	0.1526328479
98	0.152525351
99	0.1523484978
100	0.1522674276
101	0.1521277412
102	0.1520175218
103	0.1518970031
104	0.1517645553
105	0.1516624201
106	0.1515751085
107	0.1515104797
108	0.1514238434
109	0.151345291
110	0.1512566124
111	0.1511628309
112	0.1510923717
113	0.1509942189
114	0.1508997407
115	0.1508238639
116	0.150733399
117	0.1506214379
118	0.1505515994
119	0.1505036439
120	0.1504338273
121	0.1503075826
122	0.1501973023
123	0.1501076206
124	0.1500161897
125	0.1499207578
126	0.1497875677
127	0.1497342999
128	0.1496711912
129	0.1496007066
130	0.1495163053
131	0.1494536797
132	0.1493565267
133	0.1492681065
134	0.1492063554
135	0.1491223317
136	0.1490448708
137	0.1489821531
138	0.1488713117
139	0.1488085483
140	0.148719724
141	0.14862752
142	0.1485302817
143	0.1484744076
144	0.1484097519
145	0.1483149918
146	0.1482166736
147	0.1481183517
148	0.1480152957
149	0.1479218051
150	0.1478383922
151	0.1477866009
152	0.1477146097
153	0.1476624748
154	0.1476125276
155	0.1475408109
156	0.1474728359
157	0.1474211695
158	0.1473201171
159	0.1472618994
160	0.1472042887
161	0.1471436084
162	0.1470805329
163	0.1470028662
164	0.1469059069
165	0.1468319885
166	0.146751743
167	0.1466801124
168	0.1466139739
169	0.1465504804
170	0.1465073131
171	0.1464103207
172	0.146346028
173	0.1462727453
174	0.1462007708
175	0.1461255314
176	0.14604877
177	0.1459663794
178	0.145904311
179	0.1458389821
180	0.1457750113
181	0.1456766819
182	0.145599811
183	0.1454905008
184	0.1454161499
185	0.1453595568
186	0.145286251
187	0.1452037388
188	0.1451403342
189	0.1450387492
190	0.1449719257
191	0.1449205809
192	0.1448493336
193	0.1447828442
194	0.1447247166
195	0.1446535691
196	0.1445929778
197	0.1445332032
198	0.1444557546
199	0.1444045546
200	0.1443420918
201	0.1442885387
202	0.1441922147
203	0.1441190241
204	0.1440204778
205	0.1439886076
206	0.1439128284
207	0.1438322096
208	0.1437899692
209	0.1437419271
210	0.1436951331
211	0.1436441359
212	0.1435691226
213	0.1435051554
214	0.1434242258
215	0.1433666756
216	0.1433126111
217	0.1432533858
218	0.1432021007
219	0.14313478
220	0.1430953096
221	0.1430218395
222	0.142934976
223	0.1428734091
224	0.1428332075
225	0.1427703502
226	0.1426967576
227	0.1426432719
228	0.1425963665
229	0.1425271387
230	0.1424638445
231	0.1424060726
232	0.142346318
233	0.142226834
234	0.1421881006
235	0.1421449575
236	0.1420786778
237	0.1420188013
238	0.141977749
239	0.141898779
240	0.1418397873
241	0.1418009933
242	0.1416915065
243	0.1416305899
244	0.141558105
245	0.1415173509
246	0.1414484358
247	0.1414030685
248	0.1413512121
249	0.1412830021
250	0.1411987716
251	0.1411412288
252	0.1410848611
253	0.1410251452
254	0.1409809029
255	0.1409186914
256	0.1408474836
257	0.1407722402
258	0.1407112144
259	0.1406462927
260	0.1405839309
261	0.1405279031
262	0.1404784327
263	0.1404419669
264	0.1403779918
265	0.1403139113
266	0.1402503879
267	0.1401975078
268	0.1401348779
269	0.1400813015
270	0.1400132823
271	0.1399456864
272	0.1398813959
273	0.1398136599
274	0.139774588
275	0.1397163901
276	0.1396207447
277	0.1395617142
278	0.1394966076
279	0.1394295358
280	0.1393666837
281	0.1393341662
282	0.1392686866
283	0.1392248477
284	0.1391688093
285	0.1390902403
286	0.1390546078
287	0.1390025192
288	0.1389633373
289	0.138909969
290	0.1388132943
291	0.1387641381
292	0.1387157809
293	0.1386691134
294	0.1386233932
295	0.1385634916
296	0.1384925991
297	0.1384521401
